preferred_term,meddra_version,reaction_rows,distinct_reports
VASCULAR ACCESS SITE HYPERAESTHESIA,v.27.1,2,2
VESSEL PUNCTURE SITE PARAESTHESIA,v.27.1,1,1

VERDICT,value
source_file,reactions.txt
reaction_rows_scanned,4474923
distinct_terms_in_family,114
distinct_terms_in_family_v27_1,114
reaction_rows_tagged_v27_1,4474767
reaction_rows_with_blank_version,156
reaction_rows_with_empty_term,157
distinct_version_tags,2
version_tag[v.27.1],4474767
version_tag[BLANK],156
HYPERALGESIA_rows_any_version,0
HYPERESTHESIA_rows_any_version,0
HYPERAESTHESIA_rows_any_version,523
ALLODYNIA_rows_any_version,29
PARAESTHESIA_rows_any_version,12444
HYPOAESTHESIA_rows_any_version,13463
DYSAESTHESIA_rows_any_version,154
HYPERAESTHESIA_rows_v27_1,523
PARAESTHESIA_rows_v27_1,12444
HYPOAESTHESIA_rows_v27_1,13463
ALLODYNIA_rows_v27_1,29
DYSAESTHESIA_rows_v27_1,154
