term,REMIFENTANIL,FENTANYL,SUFENTANIL,MORPHINE
MUSCLE SPASMS,14,786,28,929
MUSCLE SPASTICITY,0,0,14,308
MUSCLE TWITCHING,18,181,0,136
MUSCULAR WEAKNESS,10,542,21,782
MUSCULOSKELETAL CHEST PAIN,0,0,0,151
MUSCULOSKELETAL PAIN,0,416,0,566
MUSCULOSKELETAL STIFFNESS,14,584,0,773
MYALGIA,13,495,11,573
MYDRIASIS,14,148,40,0
MYELITIS,0,0,14,0
MYOCARDIAL CALCIFICATION,0,0,9,0
MYOCARDIAL DEPRESSION,6,0,0,0
MYOCARDIAL INFARCTION,12,482,13,386
MYOCARDIAL ISCHAEMIA,10,0,0,0
MYOCARDIAL STUNNING,0,0,11,0
MYOCLONUS,14,328,66,191
MYOGLOBIN BLOOD INCREASED,0,0,16,0
MYOGLOBINAEMIA,0,0,8,0
NASAL CONGESTION,0,149,0,174
NASOPHARYNGITIS,0,434,0,1016
NAUSEA,51,4928,109,4527
NECK PAIN,0,324,11,362
NECROSIS,0,0,9,0
NEGATIVE PRESSURE PULMONARY OEDEMA,26,0,21,0
NEONATAL RESPIRATORY DEPRESSION,10,0,0,0
NEONATAL RESPIRATORY DISTRESS,0,0,9,0
NEONATAL RESPIRATORY DISTRESS SYNDROME,0,0,14,0
NEOPLASM MALIGNANT,0,219,0,221
NEOPLASM PROGRESSION,0,517,0,306
NEPHROGENIC ANAEMIA,0,179,0,168
NEPHROGENIC DIABETES INSIPIDUS,7,0,14,0
NEPHROLITHIASIS,0,160,0,355
NERVOUS SYSTEM DISORDER,0,168,76,143
NERVOUSNESS,0,218,0,188
NEURALGIA,0,225,8,244
NEUROLEPTIC MALIGNANT SYNDROME,9,0,0,0
NEUROLOGICAL DECOMPENSATION,7,0,0,0
NEUROMUSCULAR BLOCK PROLONGED,51,0,0,0
NEUROMUSCULAR BLOCKADE,12,0,0,0
NEUROPATHY PERIPHERAL,7,479,18,516
NEUROTOXICITY,0,199,17,145
NEUTROPENIA,10,708,24,614
NEUTROPHIL COUNT DECREASED,0,255,0,221
NEUTROPHIL COUNT INCREASED,8,0,9,0
NIGHT SWEATS,6,198,0,327
NIGHTMARE,0,0,0,325
NO ADVERSE EVENT,9,353,11,0
NO THERAPEUTIC RESPONSE,0,0,14,0
NODAL RHYTHM,9,0,0,0
NORMAL NEWBORN,10,0,0,0
NYSTAGMUS,17,0,0,0
OBESITY,0,0,0,303
OBSTRUCTIVE AIRWAYS DISORDER,13,0,0,0
OEDEMA,21,296,25,575
OEDEMA PERIPHERAL,6,606,19,820
OESOPHAGEAL INTRAMURAL HAEMATOMA,6,0,0,0
OFF LABEL USE,191,3744,252,3938
OLIGOHYDRAMNIOS,0,0,9,0
OLIGURIA,0,0,43,0
OPISTHOTONUS,6,137,0,0
OPTIC NEURITIS,12,0,0,0
ORAL CANDIDIASIS,0,183,0,159
OROPHARYNGEAL PAIN,0,294,0,427
OSTEOARTHRITIS,0,364,0,470
OSTEOMYELITIS,0,208,0,0
OSTEONECROSIS OF JAW,0,145,0,0
OSTEOPENIA,0,254,0,0
OSTEOPOROSIS,0,180,0,408
OVERDOSE,64,10992,55,2022
OXYGEN SATURATION DECREASED,104,707,103,602
PAIN,23,7349,98,4794
PAIN IN EXTREMITY,0,1178,16,1731
PALLOR,17,151,0,170
PALPITATIONS,9,355,12,400
PANCREATITIS,8,195,11,372
PANCREATITIS ACUTE,7,0,34,184
PANCREATITIS NECROTISING,8,0,0,0
PANCYTOPENIA,10,369,23,321
PANIC ATTACK,0,239,0,0
PARADOXICAL DRUG REACTION,10,0,0,0
PARAESTHESIA,26,607,46,746
PARALYSIS,9,134,27,0
PARANOIA,0,149,0,0
PARAPARESIS,0,0,8,0
PARKINSONISM HYPERPYREXIA SYNDROME,6,0,0,0
PARTIAL SEIZURES,7,0,0,0
PATENT DUCTUS ARTERIOSUS,23,0,32,0
PATIENT UNCOOPERATIVE,0,0,8,0
PEMPHIGUS,0,0,0,295
PERICARDIAL EFFUSION,10,0,0,0
PERICARDIAL HAEMORRHAGE,7,0,0,0
PERICARDITIS,0,0,0,304
PERIORBITAL SWELLING,0,0,8,0
PERIPHERAL ISCHAEMIA,6,0,0,0
PERIPHERAL NERVE INJURY,0,0,21,0
PERIPHERAL SWELLING,9,739,0,1138
PERIPHERAL VENOUS DISEASE,0,0,0,212
PERSONALITY DISORDER,0,0,0,148
PETECHIAE,7,0,10,0
PIGMENT NEPHROPATHY,6,0,0,0
PILOERECTION,7,0,0,0
PLASMA CELL MYELOMA,0,381,0,234
PLATELET COUNT DECREASED,21,594,8,485
PLEURAL EFFUSION,20,471,56,465
PLEURAL FIBROSIS,0,153,0,0
PNEUMOMEDIASTINUM,7,0,0,0
PNEUMONIA,48,1960,51,2422
PNEUMONIA ASPIRATION,21,338,47,250
PNEUMONIA BACTERIAL,0,0,14,0
PNEUMONIA FUNGAL,0,0,15,0
PNEUMONITIS,8,164,0,192
PNEUMOTHORAX,22,154,41,129
POISONING,0,0,0,252
POISONING DELIBERATE,0,0,0,161
POLLAKIURIA,0,139,0,0
POLYURIA,17,0,20,0
POOR FEEDING INFANT,0,150,0,0
POOR QUALITY DRUG ADMINISTERED,0,143,0,0
POST PROCEDURAL COMPLICATION,11,166,0,0
POST PROCEDURAL HAEMORRHAGE,12,0,10,0
POST PROCEDURAL STROKE,0,0,8,0
POSTERIOR REVERSIBLE ENCEPHALOPATHY SYNDROME,10,0,26,0
POSTOPERATIVE DELIRIUM,17,0,14,0
POSTPARTUM HAEMORRHAGE,0,0,14,0
PREMATURE BABY,102,408,55,200
PREMATURE DELIVERY,50,251,20,146
PREMATURE LABOUR,9,0,0,0
PREMATURE RUPTURE OF MEMBRANES,7,0,0,0
PRESBYACUSIS,0,149,0,0
PRESCRIBED OVERDOSE,6,145,0,375
PRESCRIBED UNDERDOSE,0,0,0,230
PRESCRIPTION DRUG USED WITHOUT A PRESCRIPTION,0,526,0,0
PRINZMETAL ANGINA,9,0,0,0
PROCEDURAL COMPLICATION,9,0,9,0
PROCEDURAL HAEMORRHAGE,17,0,10,0
PROCEDURAL HYPOTENSION,24,0,12,0
PROCEDURAL NAUSEA,6,0,13,0
PROCEDURAL PAIN,14,162,8,167
PROCEDURAL VOMITING,8,0,13,0
PROCEDURE ABORTED,0,0,10,0
PROCTITIS,0,142,0,0
PRODUCT ADHESION ISSUE,0,4579,0,0
PRODUCT ADMINISTERED TO PATIENT OF INAPPROPRIATE AGE,7,0,0,0
PRODUCT ADMINISTRATION ERROR,11,0,0,0
PRODUCT AVAILABILITY ISSUE,0,180,0,0
PRODUCT COMPLAINT,0,189,0,0
PRODUCT COUNTERFEIT,0,254,0,0
PRODUCT DOSE OMISSION,0,299,0,0
PRODUCT DOSE OMISSION ISSUE,0,440,0,476
PRODUCT PACKAGING ISSUE,0,198,0,0
PRODUCT PACKAGING QUANTITY ISSUE,0,291,0,0
PRODUCT PHYSICAL ISSUE,0,206,0,0
PRODUCT PRESCRIBING ERROR,0,259,10,0
PRODUCT PRESCRIBING ISSUE,0,169,0,0
PRODUCT QUALITY ISSUE,0,2526,8,190
PRODUCT SUBSTITUTION ISSUE,0,420,0,0
PRODUCT USE IN UNAPPROVED INDICATION,62,996,72,1028
PRODUCT USE ISSUE,21,784,56,1004
PRODUCTIVE COUGH,6,195,0,308
PROPOFOL INFUSION SYNDROME,20,0,18,0
PROTEINURIA,0,0,15,0
PRURITUS,41,1117,38,1291
PSORIASIS,0,253,0,680
PSORIATIC ARTHROPATHY,0,0,0,425
PSYCHOTIC DISORDER,0,139,12,142
PULMONARY ALVEOLAR HAEMORRHAGE,31,0,11,0
PULMONARY CONGESTION,0,181,9,183
PULMONARY EMBOLISM,20,485,18,463
PULMONARY FIBROSIS,0,0,0,362
PULMONARY HAEMORRHAGE,7,0,9,0
PULMONARY HYPERTENSION,7,174,0,135
PULMONARY OEDEMA,40,662,39,431
PULSE ABNORMAL,6,0,0,0
PULSE ABSENT,8,0,0,0
PULSELESS ELECTRICAL ACTIVITY,44,155,19,0
PUPIL FIXED,8,0,0,0
PUPILS UNEQUAL,6,0,0,0
PURPURA,0,0,16,0
PYREXIA,69,1971,109,2337
QUALITY OF LIFE DECREASED,0,145,0,0
RADICULOPATHY,0,136,16,0
RASH,98,1388,183,1646
RASH ERYTHEMATOUS,9,154,25,244
RASH GENERALISED,0,0,14,0
RASH MACULAR,8,0,10,0
RASH MACULO-PAPULAR,34,0,149,175
RASH MORBILLIFORM,0,0,30,0
RASH PAPULAR,0,0,11,0
RASH PRURITIC,21,153,10,163
RASH PUSTULAR,9,0,13,0
RASH VESICULAR,6,0,0,0
REBOUND EFFECT,0,0,10,0
RECTAL HAEMORRHAGE,0,271,0,394
RECURRENCE OF NEUROMUSCULAR BLOCKADE,31,0,0,0
RED BLOOD CELL COUNT DECREASED,0,148,0,0
RED BLOOD CELL SEDIMENTATION RATE INCREASED,0,0,0,263
RENAL DISORDER,0,161,0,180
RENAL FAILURE,19,1038,48,946
RENAL FAILURE ACUTE,22,0,30,0
RENAL IMPAIRMENT,32,612,14,343
RENAL INJURY,0,167,0,248
RENAL TUBULAR NECROSIS,0,0,8,0
RESPIRATORY ACIDOSIS,23,183,30,0
RESPIRATORY ALKALOSIS,7,0,0,0
RESPIRATORY ARREST,48,774,25,290
RESPIRATORY DEPRESSION,79,815,78,612
RESPIRATORY DISORDER,16,178,11,305
RESPIRATORY DISTRESS,18,292,36,282
RESPIRATORY FAILURE,54,947,59,734
RESPIRATORY MUSCLE WEAKNESS,7,0,0,0
RESPIRATORY TRACT CONGESTION,0,0,0,138
RESTLESS LEGS SYNDROME,0,160,0,0
RESTLESSNESS,9,430,16,266
RETCHING,0,0,0,128
RETINITIS,0,0,0,192
RHABDOMYOLYSIS,83,389,119,207
RHEUMATIC FEVER,0,0,0,264
RHEUMATOID ARTHRITIS,0,557,0,1334
RHEUMATOID FACTOR POSITIVE,0,0,0,319
RHINORRHOEA,0,243,0,415
RIB FRACTURE,0,138,0,165
RIGHT VENTRICULAR DYSFUNCTION,0,0,9,0
ROAD TRAFFIC ACCIDENT,0,475,0,490
SCHIZENCEPHALY,0,0,12,0
SCIATICA,0,0,0,374
SEDATION,12,373,23,566
SEDATION COMPLICATION,13,0,20,131
SEIZURE,66,756,23,590
SEIZURE LIKE PHENOMENA,19,0,0,0
SENSORY LOSS,0,0,0,178
SEPSIS,34,1037,33,953
SEPTIC SHOCK,28,458,104,312
SERONEGATIVE ARTHRITIS,0,0,0,139
SEROTONIN SYNDROME,76,1142,61,227
SHOCK,32,189,86,0
SHOCK HAEMORRHAGIC,13,0,47,0
SINUS ARREST,19,0,0,0
SINUS BRADYCARDIA,12,148,10,0
SINUS CONGESTION,0,0,0,141
SINUS DISORDER,0,0,0,161
SINUS TACHYCARDIA,37,187,38,129
SINUSITIS,0,247,0,705
SKIN DISCOLOURATION,0,148,0,149
SKIN EXFOLIATION,0,153,0,303
SKIN HAEMORRHAGE,0,0,0,142
SKIN IRRITATION,0,159,0,0
SKIN LESION,0,265,0,139
SKIN NECROSIS,0,0,12,0
SKIN REACTION,8,0,0,0
SKIN ULCER,0,170,0,168
SLEEP APNOEA SYNDROME,0,170,0,198
SLEEP DISORDER,0,421,8,550
SLEEP DISORDER DUE TO A GENERAL MEDICAL CONDITION,0,0,0,159
"SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, INSOMNIA TYPE",0,0,0,227
SMALL INTESTINAL OBSTRUCTION,0,134,0,134
SNEEZING,0,0,0,168
SOMNOLENCE,56,2020,77,1534
SOPOR,0,159,0,0
SPEECH DISORDER,0,236,12,252
SPINAL EPIDURAL HAEMATOMA,0,0,13,0
SPINAL EPIDURAL HAEMORRHAGE,0,0,20,0
SPINAL FRACTURE,0,169,0,141
SPINAL PAIN,0,0,0,147
STAPHYLOCOCCAL INFECTION,6,156,12,151
STATUS EPILEPTICUS,46,168,25,0
STEVENS-JOHNSON SYNDROME,13,0,41,0
STOMATITIS,0,383,0,552
STRESS,0,225,0,352
STRESS CARDIOMYOPATHY,28,155,44,0
STRIDOR,7,0,0,0
STUPOR,8,0,0,0
SUBCUTANEOUS EMPHYSEMA,14,0,0,0
SUBDURAL HAEMATOMA,7,0,0,0
SUBSTANCE ABUSE,0,378,19,206
SUBSTANCE USE DISORDER,0,134,0,134
SUICIDAL IDEATION,0,497,0,305
SUICIDE ATTEMPT,0,375,17,199
SUPRAVENTRICULAR EXTRASYSTOLES,6,0,0,0
SUPRAVENTRICULAR TACHYCARDIA,13,0,9,0
SURGERY,0,245,0,136
SUSPECTED PRODUCT CONTAMINATION,0,0,12,0
SUSPECTED PRODUCT QUALITY ISSUE,0,0,21,0
SWELLING,0,331,0,719
SWELLING FACE,8,154,11,202
SWOLLEN JOINT COUNT INCREASED,0,0,0,242
SWOLLEN TONGUE,15,0,0,0
SYMMETRICAL DRUG-RELATED INTERTRIGINOUS AND FLEXURAL EXANTHEMA,0,0,21,0
SYMPTOM MASKED,11,0,0,0
SYNCOPE,0,458,0,358
SYNDACTYLY,0,0,8,0
SYNOVITIS,0,0,0,486
SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,337
TACHYARRHYTHMIA,0,0,10,0
TACHYCARDIA,159,894,264,716
TACHYPNOEA,14,246,11,0
THERAPEUTIC PRODUCT EFFECT DECREASED,0,347,0,368
THERAPEUTIC PRODUCT EFFECT INCOMPLETE,0,299,24,449
THERAPEUTIC RESPONSE DECREASED,6,323,14,239
THERAPY CESSATION,0,187,0,0
THERAPY NON-RESPONDER,10,194,8,332
THERAPY PARTIAL RESPONDER,0,0,18,0
THROMBOCYTOPENIA,34,720,110,858
THROMBOPHLEBITIS,13,0,0,0
THROMBOSIS,6,288,10,345
THYROTOXIC CRISIS,9,0,0,0
TINNITUS,0,180,0,162
TONGUE OEDEMA,8,0,0,0
TONIC CLONIC MOVEMENTS,0,0,15,0
TONIC CONVULSION,0,0,8,0
TOOTH DISORDER,0,0,0,147
TOOTH LOSS,0,204,0,0
TORSADE DE POINTES,24,0,44,0
TOXIC ENCEPHALOPATHY,0,0,23,0
TOXIC EPIDERMAL NECROLYSIS,68,147,127,0
TOXIC SKIN ERUPTION,10,0,20,0
TOXICITY TO VARIOUS AGENTS,65,14979,139,3639
TRANSAMINASES INCREASED,11,0,23,127
TRANSCRANIAL ELECTRICAL MOTOR EVOKED POTENTIAL MONITORING ABNORMAL,8,0,0,0
TRANSCRIPTION MEDICATION ERROR,7,0,0,0
TREATMENT FAILURE,13,279,0,669
TREATMENT NONCOMPLIANCE,0,251,10,163
TREMOR,26,1129,41,703
TRIGEMINO-CARDIAC REFLEX,33,0,0,0
TRISMUS,6,0,0,0
TROPONIN INCREASED,0,0,8,0
TRYPTASE INCREASED,7,0,0,0
TUBULOINTERSTITIAL NEPHRITIS,0,147,14,0
TUMOUR HAEMORRHAGE,6,0,0,0
TYPE 2 DIABETES MELLITUS,0,0,0,362
TYPE I HYPERSENSITIVITY,20,0,50,0
TYPE IV HYPERSENSITIVITY REACTION,9,0,0,0
UNDERDOSE,0,496,9,224
UNEVALUABLE EVENT,0,494,0,245
UNRESPONSIVE TO STIMULI,32,750,9,337
UNWANTED AWARENESS DURING ANAESTHESIA,11,0,12,0
UPPER AIRWAY OBSTRUCTION,18,0,0,0
UPPER RESPIRATORY TRACT INFECTION,9,162,0,525
URINARY INCONTINENCE,0,155,8,133
URINARY RETENTION,11,489,33,331
URINARY TRACT INFECTION,17,870,11,910
URINE OUTPUT DECREASED,6,0,0,0
URTICARIA,79,526,135,794
VASOPLEGIA SYNDROME,0,0,23,0
VENTRICULAR EXTRASYSTOLES,16,0,11,0
VENTRICULAR FIBRILLATION,47,0,54,0
VENTRICULAR HYPOKINESIA,0,0,9,0
VENTRICULAR TACHYCARDIA,41,213,45,0
VERTIGO,0,281,0,229
VICTIM OF CRIME,0,0,15,0
VIRAL INFECTION,0,0,0,161
VISION BLURRED,0,335,16,330
VISUAL IMPAIRMENT,0,353,0,502
VOCAL CORD PARALYSIS,9,0,0,0
VOMITING,64,3483,80,3432
WALKING AID USER,0,0,0,158
WEIGHT DECREASED,21,1767,13,2040
WEIGHT FLUCTUATION,0,0,9,0
WEIGHT INCREASED,0,696,9,1108
WHEEZING,10,205,0,560
WHITE BLOOD CELL COUNT ABNORMAL,0,249,0,0
WHITE BLOOD CELL COUNT DECREASED,7,550,0,415
WHITE BLOOD CELL COUNT INCREASED,10,182,0,299
WITHDRAWAL SYNDROME,10,1856,26,390
WOUND,0,160,0,465
WOUND INFECTION,0,0,0,324
WRONG PRODUCT ADMINISTERED,0,0,10,0
WRONG TECHNIQUE IN DEVICE USAGE PROCESS,0,138,0,0
WRONG TECHNIQUE IN DRUG USAGE PROCESS,0,832,0,0
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,8,2960,10,302
X-RAY ABNORMAL,0,0,0,193
