term,REMIFENTANIL,FENTANYL,SUFENTANIL,MORPHINE
BLOOD PRESSURE DECREASED,118,496,71,370
BLOOD PRESSURE DIASTOLIC INCREASED,7,0,0,0
BLOOD PRESSURE FLUCTUATION,0,158,0,244
BLOOD PRESSURE IMMEASURABLE,11,0,0,0
BLOOD PRESSURE INCREASED,23,674,43,963
BLOOD PRESSURE SYSTOLIC DECREASED,9,0,0,0
BLOOD PRESSURE SYSTOLIC INCREASED,11,0,0,337
BLOOD UREA INCREASED,8,0,0,0
BLOOD URINE PRESENT,0,0,7,0
BODY TEMPERATURE DECREASED,0,0,0,145
BODY TEMPERATURE INCREASED,33,174,10,227
BONE EROSION,0,0,0,249
BONE PAIN,0,374,0,406
BRADYARRHYTHMIA,5,0,0,0
BRADYCARDIA,210,892,119,386
BRADYCARDIA FOETAL,12,0,18,0
BRADYPNOEA,21,148,11,168
BRAIN DEATH,5,0,0,0
BRAIN HERNIATION,14,0,8,0
BRAIN HYPOXIA,0,0,9,0
BRAIN INJURY,12,217,12,145
BRAIN OEDEMA,22,340,18,197
BREAKTHROUGH PAIN,0,273,0,0
BREAST CANCER STAGE II,0,0,0,132
BREAST CANCER STAGE III,0,0,0,216
BREATH SOUNDS ABNORMAL,0,0,8,0
BRONCHITIS,5,253,0,474
BRONCHOSPASM,103,218,184,0
BUNDLE BRANCH BLOCK RIGHT,6,0,12,0
BURNING SENSATION,0,338,9,286
BURSITIS,0,0,0,389
C-REACTIVE PROTEIN ABNORMAL,0,0,0,354
C-REACTIVE PROTEIN INCREASED,13,309,10,457
CAESAREAN SECTION,0,0,12,0
CANDIDA INFECTION,0,153,0,198
CAPILLARY NAIL REFILL TEST ABNORMAL,5,0,0,0
CARCINOID CRISIS,0,0,15,0
CARDIAC ARREST,270,1606,208,700
CARDIAC DISORDER,5,377,0,262
CARDIAC FAILURE,37,338,31,329
CARDIAC FAILURE ACUTE,10,0,0,0
CARDIAC FAILURE CONGESTIVE,0,193,0,204
CARDIAC TAMPONADE,5,0,0,0
CARDIO-RESPIRATORY ARREST,78,1323,154,441
CARDIOGENIC SHOCK,23,167,55,0
CARDIOMEGALY,0,0,8,0
CARDIOMYOPATHY,0,0,8,0
CARDIOVASCULAR DISORDER,18,0,17,0
CARDIOVASCULAR INSUFFICIENCY,11,0,0,0
CATARACT,0,157,0,309
CATHETER SITE HAEMORRHAGE,0,0,7,0
CAUDA EQUINA SYNDROME,0,0,9,0
CELLULITIS,0,319,0,474
CEREBELLAR HAEMORRHAGE,10,0,0,0
CEREBRAL HAEMORRHAGE,16,141,24,140
CEREBRAL HAEMORRHAGE FOETAL,0,0,12,0
CEREBRAL INFARCTION,19,0,0,0
CEREBRAL ISCHAEMIA,0,0,8,0
CEREBROVASCULAR ACCIDENT,6,369,10,505
CHEST DISCOMFORT,9,286,9,456
CHEST PAIN,15,767,20,1070
CHEST WALL RIGIDITY,6,0,0,0
CHILLS,21,639,22,651
CHOLECYSTITIS,8,0,0,0
CHOLELITHIASIS,0,134,0,191
CHOLESTASIS,20,0,88,202
CHOREA,0,0,8,0
CHROMATURIA,5,0,0,127
CHRONIC GASTRITIS,5,0,0,0
CHRONIC KIDNEY DISEASE,0,858,0,836
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,228,0,319
CIRCULATORY COLLAPSE,75,242,91,0
CIRCUMORAL OEDEMA,7,0,0,0
CLONIC CONVULSION,5,0,0,0
CLONUS,21,0,15,0
CLOSTRIDIUM DIFFICILE COLITIS,0,0,13,0
CLOSTRIDIUM DIFFICILE INFECTION,0,161,0,175
COAGULOPATHY,17,171,15,0
COGNITIVE DISORDER,15,357,11,269
COLD SWEAT,0,150,0,0
COLITIS,0,372,0,389
COLITIS ULCERATIVE,0,230,0,335
COMA,27,614,80,567
COMPARTMENT SYNDROME,5,0,9,0
COMPLETED SUICIDE,0,992,18,975
COMPLICATIONS OF TRANSPLANTED LIVER,7,0,0,0
CONCOMITANT DISEASE AGGRAVATED,6,0,0,0
CONDITION AGGRAVATED,47,1349,98,1545
CONDUCTION DISORDER,0,0,8,0
CONFUSION POSTOPERATIVE,0,0,10,0
CONFUSIONAL STATE,40,1602,52,1526
CONGENITAL BLADDER ANOMALY,7,0,0,0
CONGENITAL CLAVICULAR AGENESIS,0,0,8,0
CONJUNCTIVITIS,0,0,11,0
CONSTIPATION,11,2011,63,1786
CONTRAINDICATED PRODUCT ADMINISTERED,6,330,21,485
CONTRAST MEDIA ALLERGY,0,0,0,133
CONTUSION,0,406,0,644
COORDINATION ABNORMAL,0,0,0,161
CORONARY ARTERY DISEASE,0,154,0,0
COUGH,19,705,15,1256
COUNTERFEIT PRODUCT ADMINISTERED,0,193,0,0
COVID-19,6,334,25,517
COVID-19 PNEUMONIA,0,0,22,0
CROHN^S DISEASE,0,340,0,441
CRYING,0,305,0,130
CYANOSIS,15,198,19,0
CYANOSIS NEONATAL,5,0,0,0
CYST,0,169,0,0
CYSTITIS,0,0,0,287
CYTOKINE RELEASE SYNDROME,7,151,0,168
CYTOMEGALOVIRUS INFECTION,5,0,0,0
DEAFNESS NEUROSENSORY,0,201,16,0
DEATH,16,16413,47,3556
DECREASED APPETITE,5,1575,0,1546
DECUBITUS ULCER,5,0,0,0
DEEP VEIN THROMBOSIS,18,370,0,245
DEEP VEIN THROMBOSIS POSTOPERATIVE,0,0,0,207
DEHYDRATION,0,981,12,781
DELAYED RECOVERY FROM ANAESTHESIA,64,0,26,0
DELIRIUM,37,698,54,723
DEPENDENCE,0,430,0,309
DEPRESSED LEVEL OF CONSCIOUSNESS,43,777,47,621
DEPRESSED MOOD,0,194,0,168
DEPRESSION,0,1330,11,1044
DERMATITIS ALLERGIC,7,0,25,0
DERMATITIS BULLOUS,0,0,34,0
DERMATITIS CONTACT,0,167,0,0
DERMATITIS EXFOLIATIVE GENERALISED,0,0,9,0
DEVELOPMENTAL DELAY,0,385,0,149
DEVICE ADHESION ISSUE,0,227,0,0
DEVICE FAILURE,0,0,8,0
DEVICE ISSUE,5,148,36,174
DEVICE MALFUNCTION,0,302,0,129
DEVICE RELATED INFECTION,7,0,0,0
DIABETES INSIPIDUS,70,0,8,0
DIABETES MELLITUS,0,176,0,220
DIAPHRAGMATIC PARALYSIS,5,0,0,0
DIARRHOEA,40,2930,54,3155
DIPLEGIA,7,0,0,0
DISABILITY,0,434,0,156
DISCOMFORT,8,248,0,560
DISEASE PROGRESSION,8,652,0,700
DISLOCATION OF VERTEBRA,0,0,0,270
DISORIENTATION,19,451,16,275
DISSEMINATED INTRAVASCULAR COAGULATION,19,0,17,0
DISTURBANCE IN ATTENTION,0,329,21,218
DIVERTICULITIS,0,142,0,240
DIZZINESS,11,1886,33,1833
DOCUMENTED HYPERSENSITIVITY TO ADMINISTERED PRODUCT,5,0,0,0
DRUG ABUSE,21,11107,34,2125
DRUG ABUSER,5,0,0,0
DRUG ADMINISTERED AT INAPPROPRIATE SITE,0,149,0,0
DRUG ADMINISTRATION ERROR,6,153,0,0
DRUG CLEARANCE DECREASED,0,0,8,0
DRUG DEPENDENCE,0,7764,15,1606
DRUG DIVERSION,0,1196,13,0
DRUG DOSE OMISSION,0,1171,0,304
DRUG EFFECT DECREASED,0,1298,0,0
DRUG EFFECT INCOMPLETE,5,360,0,0
DRUG EFFECT INCREASED,0,235,0,0
DRUG EFFECT PROLONGED,6,0,0,0
DRUG ERUPTION,11,0,0,0
DRUG HYPERSENSITIVITY,21,1178,15,2272
DRUG INEFFECTIVE,208,8062,318,4450
DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,23,302,20,286
DRUG INTERACTION,287,2472,181,1333
DRUG INTOLERANCE,0,629,0,1186
DRUG LEVEL ABOVE THERAPEUTIC,5,0,8,0
DRUG LEVEL INCREASED,5,164,33,0
DRUG PRESCRIBING ERROR,0,586,0,0
DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS,54,155,125,0
DRUG RESISTANCE,24,0,0,0
DRUG SCREEN NEGATIVE,0,176,0,0
DRUG SCREEN POSITIVE,0,257,10,0
DRUG TOLERANCE,0,278,0,0
DRUG TOLERANCE DECREASED,0,0,0,135
DRUG USE DISORDER,0,437,0,207
DRUG WITHDRAWAL SYNDROME,7,3274,42,865
DRUG WITHDRAWAL SYNDROME NEONATAL,0,1720,0,227
DRUG-INDUCED LIVER INJURY,22,0,12,146
DRY EYE,0,292,0,0
DRY MOUTH,0,382,10,528
DRY SKIN,0,227,0,205
DUODENAL ULCER PERFORATION,0,0,0,282
DYSARTHRIA,15,296,18,365
DYSGEUSIA,0,228,11,221
DYSKINESIA,39,289,12,199
DYSMORPHISM,0,0,8,0
DYSPEPSIA,0,421,0,680
DYSPHAGIA,18,594,22,670
DYSPHEMIA,5,0,0,0
DYSPHONIA,7,233,9,192
DYSPNOEA,56,2744,95,2695
DYSPNOEA EXERTIONAL,7,147,0,167
DYSSTASIA,0,0,0,185
DYSTONIA,25,0,0,0
DYSURIA,0,219,7,220
EAR INFECTION,0,0,0,261
EAR PAIN,0,0,0,176
EATING DISORDER,0,162,0,238
EJECTION FRACTION DECREASED,0,0,11,0
ELECTROCARDIOGRAM ABNORMAL,7,0,0,0
ELECTROCARDIOGRAM QRS COMPLEX PROLONGED,17,0,8,0
ELECTROCARDIOGRAM QT PROLONGED,36,308,36,231
ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,16,0,0,0
ELECTROCARDIOGRAM ST SEGMENT ELEVATION,16,0,0,0
ELECTROCARDIOGRAM ST-T CHANGE,0,0,9,0
ELECTROENCEPHALOGRAM ABNORMAL,11,0,0,0
EMBOLIC STROKE,0,0,13,0
EMOTIONAL DISTRESS,6,2499,0,643
EMPHYSEMA,5,0,35,0
ENCEPHALOMALACIA,0,0,7,0
ENCEPHALOPATHY,16,382,24,315
END STAGE RENAL DISEASE,0,253,0,272
ENDOTRACHEAL INTUBATION COMPLICATION,11,0,0,0
ENTEROBACTER INFECTION,5,0,0,0
EOSINOPHILIA,12,0,117,0
EPIDURAL ANALGESIA,0,0,10,0
EPIDURAL HAEMORRHAGE,0,0,15,0
EPIGASTRIC DISCOMFORT,0,162,0,0
EPILEPSY,13,0,8,0
EPISTAXIS,8,288,48,362
ERYTHEMA,87,740,151,709
ERYTHEMA MULTIFORME,5,0,0,0
ESCHERICHIA INFECTION,6,0,0,0
EUPHORIC MOOD,0,177,0,0
EXOSTOSIS,0,0,0,240
EXPIRED PRODUCT ADMINISTERED,0,143,0,0
EXPOSURE DURING PREGNANCY,71,659,146,549
EXTRAPYRAMIDAL DISORDER,5,0,0,0
EXTRASYSTOLES,7,0,0,0
EXTRAVASATION,6,0,10,0
EYELID OEDEMA,11,0,11,0
FACE OEDEMA,0,0,47,0
FACET JOINT SYNDROME,0,0,0,211
FAECALOMA,0,152,0,0
FALL,7,1949,25,1834
FATIGUE,12,3444,20,3650
FEBRILE BONE MARROW APLASIA,0,0,8,0
FEBRILE NEUTROPENIA,16,511,0,934
FEEDING DISORDER,0,149,0,169
FEELING ABNORMAL,8,1244,11,818
FEELING COLD,0,248,0,154
FEELING HOT,0,322,10,401
FIBROMYALGIA,0,138,0,370
FIXED ERUPTION,8,0,0,0
FLATULENCE,0,185,27,251
FLUID RETENTION,0,155,0,288
FLUSHING,38,252,27,236
FOETAL EXPOSURE DURING DELIVERY,11,0,15,0
FOETAL EXPOSURE DURING PREGNANCY,143,1346,107,498
FOETAL HEART RATE ABNORMAL,0,0,18,0
FOLLICULITIS,0,0,0,214
FOOD ALLERGY,0,0,0,142
FOOD INTERACTION,6,0,0,0
FOOT DEFORMITY,0,0,0,271
FREQUENT BOWEL MOVEMENTS,0,212,0,339
FUNGAL INFECTION,14,0,0,128
GAIT DISTURBANCE,0,1086,47,1208
GAIT INABILITY,0,190,0,325
GAMMA-GLUTAMYLTRANSFERASE INCREASED,21,159,15,144
GANGRENE,0,0,0,128
GASTRIC DISORDER,0,0,0,128
GASTRIC ULCER,0,0,0,130
GASTRITIS,0,143,0,0
GASTROINTESTINAL DISORDER,0,431,8,617
GASTROINTESTINAL HAEMORRHAGE,11,421,17,317
GASTROINTESTINAL MOTILITY DISORDER,0,0,10,0
GASTROINTESTINAL NECROSIS,5,0,0,0
GASTROOESOPHAGEAL REFLUX DISEASE,8,359,0,459
GENERAL PHYSICAL HEALTH DETERIORATION,8,1312,22,1281
GENERALISED ERYTHEMA,16,0,24,0
GENERALISED OEDEMA,18,0,0,0
GENERALISED TONIC-CLONIC SEIZURE,28,235,39,0
