ADRECS_ID,ADR_ID,ADR_TERM,ADR_SYNONYMS,MEDDRA_CODE
17.04.03.003,BADD_A02104,Hyperacusis,"Auditory hyperacuity | Hearing abnormally acute | Hyperacusis | Painful sensitiveness to sound | Sound sensitivity increased | Hyperacuses | Loudness Recruitment | Loudness Recruitments | Hyperacusia | Hyperacusias | Loudness Perception Disturbances | Disturbance, Loudness Perception | Disturbances, Loudness Perception | Loudness Perception Disturbance | Perception Disturbance, Loudness | Perception Disturbances, Loudness | Recruitment, Loudness | Phonophobia | Phonophobias | Auditory Hyperesthesia | Auditory Hyperesthesias | Hyperesthesia, Auditory | Hyperesthesias, Auditory",10020559
17.05.01.030,BADD_A10626,Paroxysmal sympathetic hyperactivity,Paroxysmal sympathetic hyperactivity,10078476
17.09.02.011,BADD_A07409,Meralgia paraesthetica,"Meralgia paraesthetica | Meralgia paresthetica | Lateral femoral cutaneous nerve entrapment | Femoral Neuropathy | Femoral Neuropathies | Neuropathy, Femoral | Mononeuropathy, Femoral | Femoral Mononeuropathy | Femoral Mononeuropathies | Femoral Nerve Diseases | Femoral Nerve Disease | Nerve Disease, Femoral | Nerve Diseases, Femoral | Femoral Nerve Dysfunction | Femoral Nerve Dysfunctions | Nerve Dysfunction, Femoral | Femoral Neuritis | Femoral Neuritides | Neuritis, Femoral | Meralgia Paresthetica | Lateral Femoral Cutaneous Nerve Entrapment | Bernhardt-Roth Syndrome | Bernhardt Roth Syndrome",10027385
17.10.01.003,BADD_A02159,Hypertonic bladder,"Bladder instability | Detrusor hyperreflexia | Detrusor instability | Hypertonic bladder | Hypertonicity of bladder | Low bladder compliance | Unstable bladder | Hyperactive bladder | Overactive bladder | Urgency-frequency syndrome | Urinary Bladder, Overactive | Overactive Bladder | Overactive Urinary Bladder | Bladder, Overactive | Overactive Detrusor | Detrusor, Overactive | Overactive Detrusor Function | Detrusor Function, Overactive",10020853
17.13.01.005,BADD_A06429,Hyperammonaemic encephalopathy,Hyperammonaemic encephalopathy | Hyperammonemic encephalopathy,10067327
17.13.01.008,BADD_A09212,Hyperammonaemic crisis,Hyperammonaemic crisis | Hyperammonemic crisis,10073509
17.14.01.015,BADD_A06690,Medication overuse headache,"Medication overuse headache | Analgesic rebound headache | Rebound headache | Headache Disorders, Secondary | Disorder, Secondary Headache | Disorders, Secondary Headache | Headache Disorder, Secondary | Secondary Headache Disorder | Secondary Headache Disorders | Analgesic Overuse Headache | Analgesic Overuse Headaches | Headache, Analgesic Overuse | Headaches, Analgesic Overuse | Medication Overuse Headache | Headache, Medication Overuse | Headaches, Medication Overuse | Medication Overuse Headaches | Overuse Headache, Medication | Overuse Headaches, Medication | Analgesic Rebound Headache | Analgesic Rebound Headaches | Headache, Analgesic Rebound | Headaches, Analgesic Rebound",10072720
19.01.02.006,BADD_A04692,Hypervigilance,"Hyperalertness | Hypervigilence | Increased state of alertness | Hypervigilance | Anxiety | Nervousness | Social Anxiety | Anxieties, Social | Anxiety, Social | Social Anxieties",10048533
19.06.02.006,BADD_A00129,Akathisia,"Acathesia | Akathisia | Motor restlessness | Motor unrest compulsive | Akathisia aggravated | Acathisia | Psychomotor Agitation | Restlessness | Psychomotor Hyperactivity | Hyperactivity, Psychomotor | Psychomotor Restlessness | Restlessness, Psychomotor | Agitation, Psychomotor | Excitement, Psychomotor | Psychomotor Excitement",10001540
19.06.03.003,BADD_A05361,Phonophobia,"Phonophobia | Hyperacusis | Hyperacuses | Loudness Recruitment | Loudness Recruitments | Hyperacusia | Hyperacusias | Loudness Perception Disturbances | Disturbance, Loudness Perception | Disturbances, Loudness Perception | Loudness Perception Disturbance | Perception Disturbance, Loudness | Perception Disturbances, Loudness | Recruitment, Loudness | Phonophobias | Auditory Hyperesthesia | Auditory Hyperesthesias | Hyperesthesia, Auditory | Hyperesthesias, Auditory",10054956
19.07.06.005,BADD_A05231,Alcohol withdrawal syndrome,"Alcohol withdrawal hallucinosis | Alcoholic withdrawal symptoms | Alcohol withdrawal syndrome | Alcohol Withdrawal Delirium | Delirium, Alcohol Withdrawal | Delirium Tremens | Delirium Tremens, Alcohol Withdrawal Induced | Alcohol Withdrawal-Induced Delirium Tremens | Alcohol Withdrawal Induced Delirium Tremens | Autonomic Hyperactivity, Alcohol Withdrawal Associated | Alcohol Withdrawal Associated Autonomic Hyperactivity | Alcohol Withdrawal Hallucinosis | Hallucinosis, Alcohol Withdrawal",10053164
19.07.06.010,BADD_A01327,Drug abuse,"Amphetamine or related acting sympathomimetic abuse | Amphetamine or related acting sympathomimetic abuse, continuous use | Amphetamine or related acting sympathomimetic abuse, episodic use | Amphetamine or related acting sympathomimetic abuse, in remission | Amphetamine or related acting sympathomimetic abuse, unspecified use | Analgesic abuse | Antidepressant type abuse | Antidepressant type abuse, continuous use | Antidepressant type abuse, episodic use | Antidepressant type abuse, in remission | Antidepressant type abuse, unspecified use | Barbiturate abuse | Barbiturate and similarly acting sedative or hypnotic abuse | Barbiturate and similarly acting sedative or hypnotic abuse, continuous use | Barbiturate and similarly acting sedative or hypnotic abuse, episodic use | Barbiturate and similarly acting sedative or hypnotic abuse, in remission | Barbiturate and similarly acting sedative or hypnotic abuse, unspecified use | Cannabis abuse | Cannabis abuse, continuous use | Cannabis abuse, episodic use | Cannabis abuse, in remission | Cannabis abuse, unspecified use | Cathartic laxative habituation | Cocaine abuse | Cocaine abuse, continuous use | Cocaine abuse, episodic use | Cocaine abuse, in remission | Cocaine abuse, unspecified use | Diuretic abuse | Drug abuse | Drug abuse NOS | Enema abuse | Hallucinogen abuse | Hallucinogen abuse, continuous use | Hallucinogen abuse, episodic use | Hallucinogen abuse, in remission | Hallucinogen abuse, unspecified use | Laxative abuse | Narcotic abuse | Nondependent abuse of barbiturates and tranquillizers | Nondependent abuse of cannabis | Nondependent abuse of drugs | Nondependent abuse of drugs of amphetamine type | Nondependent abuse of drugs of cocaine type | Nondependent abuse of drugs of morphine type | Nondependent abuse of drugs, antidepressants | Nondependent abuse of hallucinogens | Opioid abuse | Opioid abuse, continuous use | Opioid abuse, episodic use | Opioid abuse, in remission | Opioid abuse, unspecified use | Other, mixed, or unspecified drug abuse | Other, mixed, or unspecified drug abuse, continuous use | Other, mixed, or unspecified drug abuse, episodic use | Other, mixed, or unspecified drug abuse, in remission | Other, mixed, or unspecified drug abuse, unspecified use | Steroid abuse | Tranquillizer abuse | Caffeine abuse | Drug abuse in remission | Polydrug abuse | Amphetamine abuse | Tranquilliser abuse | Marijuana abuse | Substance-Related Disorders | Drug Abuse | Abuse, Drug | Drug Dependence | Dependence, Drug | Drug Addiction | Addiction, Drug | Substance Use Disorders | Disorder, Substance Use | Substance Use Disorder | Drug Use Disorders | Disorder, Drug Use | Drug Use Disorder | Organic Mental Disorders, Substance-Induced | Organic Mental Disorders, Substance Induced | Substance Abuse | Abuse, Substance | Abuses, Substance | Substance Abuses | Substance Dependence | Dependence, Substance | Substance Addiction | Addiction, Substance | Prescription Drug Abuse | Abuse, Prescription Drug | Drug Abuse, Prescription | Drug Habituation | Habituation, Drug",10013654
